,store_id,store_id_only_num,store_name,booking,receipt,blog,total
3022,s1100582337,1100582337,머리이야기,1.0,1.0,1.0,3.0
3023,s37441762,37441762,김쌤헤어,1.0,1.0,1.0,3.0
3024,s1009278709,1009278709,수지헤어,1.0,1.0,1.0,3.0
3025,s437201805,437201805,째쟁이헤어뱅크,1.0,1.0,1.0,3.0
3026,s1261304823,1261304823,헤어시안,1.0,1.0,1.0,3.0
3027,s1465043416,1465043416,나이스가이 숭실대역점,1.0,1.0,1.0,3.0
3028,s1050049809,1050049809,끄댕이,1.0,1.0,1.0,3.0
3029,s20835097,20835097,비전앤헤어 신창점,1.0,1.0,1.0,3.0
3030,s1439310187,1439310187,최미용실,1.0,1.0,1.0,3.0
3031,s38015527,38015527,토토로 헤어,1.0,1.0,1.0,3.0
3032,s1919854872,1919854872,W헤어,1.0,1.0,1.0,3.0
3033,s1277922922,1277922922,살롱드블랑쉬,1.0,1.0,1.0,3.0
3034,s36236422,36236422,헤어프렌즈,1.0,1.0,1.0,3.0
3035,s37485444,37485444,헤어153가이드,1.0,1.0,1.0,3.0
3036,s1637386441,1637386441,Park Chan hair,1.0,1.0,1.0,3.0
3037,s1565814198,1565814198,오드리햅번,1.0,1.0,1.0,3.0
3038,s20831698,20831698,머리향기,1.0,1.0,1.0,3.0
3039,s20843159,20843159,아리아헤어 창동점,1.0,1.0,1.0,3.0
3040,s1604038537,1604038537,머리하는날,1.0,1.0,1.0,3.0
3041,s21093957,21093957,머리사랑미용실,1.0,1.0,1.0,3.0
3042,s1739561279,1739561279,무드인살롱,1.0,1.0,1.0,3.0
3043,s1122858972,1122858972,쉬즈헤어,1.0,1.0,1.0,3.0
3044,s38510804,38510804,박훈헤어,1.0,1.0,1.0,3.0
3045,s542504910,542504910,유경헤어,1.0,1.0,1.0,3.0
3046,s1025856831,1025856831,헤어스토리,1.0,1.0,1.0,3.0
3047,s1828783105,1828783105,진헤어샵,1.0,1.0,1.0,3.0
3048,s1467073462,1467073462,세븐헤어샵,1.0,1.0,1.0,3.0
3049,s1723727201,1723727201,조안헤어,1.0,1.0,1.0,3.0
3050,s1541535368,1541535368,하루헤어,1.0,1.0,1.0,3.0
3051,s244596436,244596436,엘헤어샵,1.0,1.0,1.0,3.0
3052,s31393958,31393958,에스헤어신창점,1.0,1.0,1.0,3.0
3053,s38414704,38414704,소울시저스,1.0,1.0,1.0,3.0
3054,s20827722,20827722,마니끌레,1.0,1.0,1.0,3.0
3055,s33965073,33965073,헤어센스,1.0,1.0,1.0,3.0
3056,s13154818,13154818,케이앤케이남성커트,1.0,1.0,1.0,3.0
3057,s1939776512,1939776512,브니엘 헤어,1.0,1.0,1.0,3.0
3058,s1669905862,1669905862,이레헤어,1.0,1.0,1.0,3.0
3059,s20939065,20939065,호야헤어&피부,1.0,1.0,1.0,3.0
3060,s1464419734,1464419734,영미용실,1.0,1.0,1.0,3.0
3061,s32333028,32333028,미랑컬헤어 창동역점,1.0,1.0,1.0,3.0
3062,s20858677,20858677,박연헤어,1.0,1.0,1.0,3.0
3063,s18772757,18772757,최영헤어붐,1.0,1.0,1.0,3.0
3064,s38010753,38010753,S hair,1.0,1.0,1.0,3.0
3065,s36166432,36166432,정헤어,1.0,1.0,1.0,3.0
3066,s13557983,13557983,건우헤어,1.0,1.0,1.0,3.0
3067,s1333479053,1333479053,헤어플러스,1.0,1.0,1.0,3.0
3068,s18775988,18775988,머리가,1.0,1.0,1.0,3.0
3069,s11612637,11612637,쟝피엘헤어 상암점,1.0,1.0,1.0,3.0
3070,s20839403,20839403,크라크라헤어,1.0,1.0,1.0,3.0
3071,s1115937446,1115937446,보보  헤어,1.0,1.0,1.0,3.0
3072,s20919746,20919746,수하미헤어,1.0,1.0,1.0,3.0
3073,s1741675138,1741675138,다올헤어,1.0,1.0,1.0,3.0
3074,s31394586,31394586,다경미용실,1.0,1.0,1.0,3.0
3075,s37495471,37495471,조윤정 헤어클리닉,1.0,1.0,1.0,3.0
3076,s1990144509,1990144509,수헤어숍,1.0,1.0,1.0,3.0
3077,s1527167536,1527167536,수헤어,1.0,1.0,1.0,3.0
3078,s1477376298,1477376298,명희머리방,1.0,1.0,1.0,3.0
3079,s20927500,20927500,토마토헤어 쌍문점,1.0,1.0,1.0,3.0
3080,s1199159546,1199159546,김도연헤어,1.0,1.0,1.0,3.0
3081,s1646718113,1646718113,헤어갤러리,1.0,1.0,1.0,3.0
3082,s1764071190,1764071190,ON헤어,1.0,1.0,1.0,3.0
3083,s1157046976,1157046976,더블유헤어앤스파,1.0,1.0,1.0,3.0
3084,s1107321301,1107321301,르호봇헤어클럽,1.0,1.0,1.0,3.0
3085,s1598567809,1598567809,바니헤어,1.0,1.0,1.0,3.0
3086,s1794291692,1794291692,헤어뉴스,1.0,1.0,1.0,3.0
3087,s33163632,33163632,나무헤어,1.0,1.0,1.0,3.0
3088,s1428750281,1428750281,다올헤어,1.0,1.0,1.0,3.0
3089,s1530807806,1530807806,이화령헤어컷,1.0,1.0,1.0,3.0
3090,s1584653094,1584653094,나이스가이 신대방삼거리역점,1.0,1.0,1.0,3.0
3091,s1344408013,1344408013,잘헤어,1.0,1.0,1.0,3.0
3092,s1429529169,1429529169,자야미용실,1.0,1.0,1.0,3.0
3093,s20845908,20845908,제이헤어,1.0,1.0,1.0,3.0
3094,s1164552078,1164552078,가온누리헤어,1.0,1.0,1.0,3.0
3095,s311247115,311247115,헤어카페감동,1.0,1.0,1.0,3.0
3096,s31395226,31395226,보니타헤어,1.0,1.0,1.0,3.0
3097,s1489705644,1489705644,태후사랑 사당점,1.0,1.0,1.0,3.0
3098,s1165480831,1165480831,진헤어룩,1.0,1.0,1.0,3.0
3099,s1344810282,1344810282,느루헤어,1.0,1.0,1.0,3.0
3100,s1332647437,1332647437,개미헤어샵,1.0,1.0,1.0,3.0
3101,s1048110312,1048110312,지은샵,1.0,1.0,1.0,3.0
3102,s1392810979,1392810979,라움헤어,1.0,1.0,1.0,3.0
3103,s1384111344,1384111344,마리,1.0,1.0,1.0,3.0
3104,s1587365687,1587365687,정준헤어,1.0,1.0,1.0,3.0
